date_collected,operating_field_name,crop_name,robot_name,experiment_id,_id
2020-05-28,South,COTTON,DCM-DOLPHIN,small cotton,242
2020-05-28,mv 13,SOYBEANS,DCM-MANATEE,D&L farms soybeans,362
2020-05-28,nw,COTTON,DCM-MANATEE,murry henderson cotton,302
2020-05-29,10,SOYBEANS,DCM-DOLPHIN,medium soy,55
2020-05-29,11,SOYBEANS,DCM-DOLPHIN,medium soy,22
2020-05-29,3,SOYBEANS,DCM-DOLPHIN,small soy,33
2020-05-29,4,COTTON,DCM-DOLPHIN,small cotton,32
2020-05-29,7,COTTON,DCM-DOLPHIN,small cotton,114
2020-05-29,East,SOYBEANS,DCM-OTTER,Fri5/29 morning,42
2020-05-29,I blck,SOYBEANS,DCM-MANATEE,arva soybeans,415
2020-05-29,West,SOYBEANS,DCM-OTTER,Fri5/29 afternoon,114
2020-05-29,West,SOYBEANS,DCM-OTTER,Fri5/29 morning,108
2020-05-29,m15,SOYBEANS,DCM-MANATEE,arva soybeans,596
2020-05-29,m15 north,CORN,DCM-MANATEE,arva corn,220
2020-05-29,m16,SOYBEANS,DCM-MANATEE,arva soybeans,483
2020-05-29,ryan east,SOYBEANS,DCM-MANATEE,arva soybeans,248
2020-05-29,ryan south main shop,CORN,DCM-MANATEE,arva corn,226
2020-05-29,ryan west,SOYBEANS,DCM-MANATEE,arva soybeans,375
2020-05-29,testing,OTHER,DCM-WALRUS,testing Dudley,11
2020-05-30,Between the Bridges,COTTON,DCM-DOLPHIN,small cotton,45
2020-05-30,Big Pasture,COTTON,DCM-DOLPHIN,medium cotton,39
2020-05-30,LS-11,SOYBEANS,DCM-DOLPHIN,small soybeans,20
2020-05-30,LS-4,SOYBEANS,DCM-DOLPHIN,small soybeans,28
2020-05-30,LS-4 North,SOYBEANS,DCM-DOLPHIN,small soybeans,20
2020-05-30,Mickey,COTTON,DCM-DOLPHIN,medium cotton,26
2020-05-30,North bins,CORN,DCM-OTTER,Sat 5/30 midday,1491
2020-05-30,North of Road,COTTON,DCM-DOLPHIN,medium cotton,27
2020-05-30,Old Shed,COTTON,DCM-DOLPHIN,medium cotton,26
2020-05-30,South 200,SOYBEANS,DCM-OTTER,Sat 5/30 Afternoon,2201
2020-05-30,South 200,SOYBEANS,DCM-OTTER,Sat 5/30 morning,1622
2020-05-30,Willis,COTTON,DCM-DOLPHIN,medium cotton,22
2020-05-30,north bins,CORN,DCM-OTTER,Sat 5/30 Afternoon,568
2020-05-31,1,SOYBEANS,DCM-DOLPHIN,medium Soybeans,241
2020-05-31,10,SOYBEANS,DCM-DOLPHIN,small Soybeans,258
2020-05-31,19,SOYBEANS,DCM-DOLPHIN,small Soybeans,251
2020-05-31,Kenyon east,SOYBEANS,DCM-OTTER,Sun 5/31morning,308
2020-05-31,Sinclair,SOYBEANS,DCM-OTTER,Sun 5/31morning,756
2020-05-31,north of 94th,SOYBEANS,DCM-OTTER,Sun 5/31 afternoon,214
2020-06-01,37,COTTON,DCM-MANATEE,pilgrim cotto,486
2020-06-01,C15,COTTON,DCM-DOLPHIN,medium cotton,55
2020-06-01,C15,COTTON,DCM-DOLPHIN,small cotton,78
2020-06-01,C87,COTTON,DCM-DOLPHIN,small cotton,42
2020-06-01,Gilette Grove,SOYBEANS,DCM-OTTER,Mon 6/1 afternoon,295
2020-06-01,Gillette grove,SOYBEANS,DCM-OTTER,Mon 6/1 afternoon,540
2020-06-01,LTS9,CORN,DCM-WALRUS,6.1.20,888
2020-06-01,Madson,SOYBEANS,DCM-OTTER,Mon 6/1 afternoon,794
2020-06-01,South 540-1,COTTON,DCM-DOLPHIN,medium cotton,63
2020-06-01,South 540-2,COTTON,DCM-DOLPHIN,medium cotton,59
2020-06-01,TMSW5,CORN,DCM-WALRUS,6.1.20,348
2020-06-01,Tony Peterson East,CORN,DCM-OTTER,Mon 6/1 afternoon,636
2020-06-01,Tony Peterson West,SOYBEANS,DCM-OTTER,Mon 6/1 afternoon,455
2020-06-01,co rd3440& 64 rd,COTTON,DCM-MANATEE,pilgrim cotton,25
2020-06-01,enloe,COTTON,DCM-MANATEE,pilgrim cotton,300
2020-06-01,head quarters,COTTON,DCM-MANATEE,pilgrim cotton,306
2020-06-02,Back Gus,COTTON,DCM-DOLPHIN,meium cotton,283
2020-06-02,C Brandt,CORN,DCM-WALRUS,6.2.20,126
2020-06-02,Dion Field,COTTON,DCM-DOLPHIN,meium cotton,119
2020-06-02,Home,SOYBEANS,DCM-OTTER,Tues 6/2 midday,147
2020-06-02,North,SOYBEANS,DCM-OTTER,Tues 6/2 morning,1005
2020-06-02,Pingel,CORN,DCM-OTTER,Tues 6/2 morning,176
2020-06-02,SE3,CORN,DCM-WALRUS,6.2.20,1353
2020-06-02,Vanderpol,SOYBEANS,DCM-OTTER,Tues 6/2 afternoon,61
2020-06-02,Vanderpol,SOYBEANS,DCM-OTTER,Tues 6/2 midday,48
2020-06-02,gerald smith,COTTON,DCM-MANATEE,randysmith cotton,332
2020-06-02,hobdgood,COTTON,DCM-MANATEE,randysmith cotton,495
2020-06-03,30,COTTON,DCM-DOLPHIN,small cotton,20
2020-06-03,31,COTTON,DCM-DOLPHIN,small cotton,23
2020-06-03,66,COTTON,DCM-DOLPHIN,small cotton,36
2020-06-03,North 18 Barbers,CORN,DCM-WALRUS,6.3.20,356
2020-06-03,Power Plant,COTTON,DCM-DOLPHIN,small cotton,114
2020-06-03,Solomon,COTTON,DCM-DOLPHIN,small cotton,64
2020-06-03,Solomon Rd,COTTON,DCM-DOLPHIN,small cotton,45
2020-06-03,jackson hall,COTTON,DCM-MANATEE,tyson cotton,451
2020-06-03,shop south,COTTON,DCM-MANATEE,tyson cotton,458
2020-06-04,Cement Bridge,SOYBEANS,DCM-OTTER,Thurs 6/4 morning,129
2020-06-04,Fank Smith,COTTON,DCM-DOLPHIN,small cotton,48
2020-06-04,Max Gregory,COTTON,DCM-DOLPHIN,small cotton,42
2020-06-04,Narmi whole fields,SOYBEANS,DCM-OTTER,Thurs 6/4 morning,248
2020-06-04,North,COTTON,DCM-DOLPHIN,small cotton,53
2020-06-04,South,COTTON,DCM-DOLPHIN,small cotton,92
2020-06-04,elmos  1,COTTON,DCM-MANATEE,tom gregory cotton,83
2020-06-04,elmos 2,COTTON,DCM-MANATEE,tom gregory cotton,37
2020-06-04,high flat,SOYBEANS,DCM-OTTER,Thurs 6/4 afternoon,122
2020-06-04,jenning pivots,COTTON,DCM-MANATEE,tom gregory cotton,22
2020-06-05,Big Graveyard,COTTON,DCM-DOLPHIN,small cotton,55
2020-06-05,Hay Field,COTTON,DCM-DOLPHIN,small cotton,27
2020-06-05,Northeast,SOYBEANS,DCM-OTTER,Fri 6/5 afternoon,594
2020-06-05,setion 2,COTTON,DCM-MANATEE,Quentin cotton,76
