,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
223,5ec3a8d4a2ac22245c052258,0,0,1,1,0,0,2,4,4
224,5ec3a8d4a2ac22245c052255,0,0,0,0,0,0,0,1,1
225,5ec5781268d373ba5bd74354,0,0,0,0,0,0,0,3,3
226,5ed49ee1b3feb2bef87ef244,0,0,0,1,0,0,1,1,2
227,5ed469e1f9a116c31a7df94c,0,0,0,0,1,0,1,1,0
228,5ed77ac48b8ca25866ed2f03,0,0,0,0,0,0,0,1,1
229,5ed736158e0acd99214654f5,0,0,1,0,0,0,1,2,1
230,5ec5781268d373ba5bd7431f,0,0,0,1,1,0,2,1,1
231,5ed5b19744839ebc15d2bd86,0,0,0,0,1,0,1,3,2
232,5ec4cb50ce7cf4e480e136a7,0,0,0,0,0,2,2,1,1
233,5ec3a8d3a2ac22245c052181,0,0,0,0,0,0,0,1,1
234,5ec3a8d3a2ac22245c052180,0,1,0,0,0,0,1,1,1
235,5ece08b7b4e922596694724c,0,0,0,0,0,0,0,2,2
236,5ec4e7f6ce7cf4e480e1400c,0,0,0,0,0,0,0,1,1
237,5ec3a8d3a2ac22245c052192,0,0,0,0,0,0,0,1,1
238,5ec3a8d3a2ac22245c05218c,0,0,0,0,0,0,0,4,4
239,5ed072f5de6dcd2680869549,0,0,0,0,1,0,1,3,2
240,5ed059d9fdc89b2c5d6345d1,0,0,0,0,0,0,0,2,2
241,5ec3a8d3a2ac22245c052194,0,0,0,0,0,0,0,1,1
242,5ec4d395ce7cf4e480e13a2e,0,0,0,0,0,0,0,1,1
243,5ed5bc0ba73992ccf55ed725,0,1,0,0,0,0,1,2,2
244,5ec5781268d373ba5bd74274,1,0,0,0,0,0,1,2,3
245,5ec5781268d373ba5bd74273,0,4,0,0,0,1,5,2,2
246,5ec5781268d373ba5bd7426d,0,0,1,0,0,1,2,3,2
247,5ec5781268d373ba5bd7426c,0,1,0,0,2,0,3,2,0
248,5ec5781268d373ba5bd7427c,0,0,0,0,0,0,0,1,1
249,5ed467cf0b7fb01a68bc7c35,0,0,0,0,0,0,0,1,1
250,5ed5ac7dda2a0ba85d404706,0,1,0,1,0,6,8,3,4
251,5ed85ac69c483303d9acf022,0,0,0,0,0,3,3,3,3
252,5ec5781268d373ba5bd74292,0,1,0,0,1,0,2,1,0
